Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Reading,Notes,Listening_in_Class,Project_work,Attendance,Grade
10001,24,Female,State,75%,Yes,Yes,Bike,7,Yes,Yes,Yes,Yes,Always,CC
10002,21,Female,State,0%,Yes,Yes,Bus,9,Yes,Yes,Yes,No,Always,CC
10003,22,Female,Private,0%,No,Yes,Private,6,Yes,No,Yes,Yes,Always,FF
10004,24,Female,Private,50%,Yes,No,Bus,11,Yes,No,Yes,Yes,Always,CC
10005,20,Male,State,25%,No,Yes,Bus,9,Yes,Yes,Yes,Yes,Always,CC
10006,25,Male,Other,100%,No,No,Bus,7,Yes,Yes,Yes,Yes,Always,DC
10007,22,Female,State,50%,No,No,Bus,0,Yes,Yes,Yes,No,Always,DC
10008,22,Male,Private,100%,No,No,Bus,9,Yes,Yes,Yes,Yes,Always,CC
10009,24,Female,State,25%,Yes,Yes,Bus,7,Yes,No,Yes,Yes,Always,CC
10010,19,Female,Other,75%,No,Yes,Private,8,Yes,Yes,Yes,Yes,Always,DC
10011,20,Male,State,25%,Yes,Yes,Bus,3,Yes,No,Yes,Yes,Always,DC
10012,24,Female,Other,100%,No,Yes,Bus,14,Yes,Yes,Yes,Yes,Never,BB
10013,20,Male,Private,0%,Yes,No,Bus,11,Yes,Yes,Yes,Yes,Sometimes,BB
10014,20,Female,Private,50%,No,No,Bike,14,Yes,Yes,Yes,No,Always,BB
10015,25,Female,State,75%,No,Yes,Bus,13,Yes,Yes,Yes,No,Always,BB
10016,22,Female,State,25%,No,No,Bus,10,No,Yes,Yes,Yes,Sometimes,CC
10017,21,Male,Private,50%,No,Yes,Bus,3,Yes,Yes,Yes,No,Sometimes,DC
10018,25,Male,Private,100%,No,No,Private,15,Yes,No,Yes,No,Always,BB
10019,25,Female,State,25%,No,Yes,Bus,4,Yes,Yes,Yes,No,Always,DC
10020,20,Female,Private,50%,No,No,Bus,7,Yes,Yes,Yes,Yes,Always,DC
10021,23,Female,Private,0%,No,Yes,Bus,11,Yes,Yes,No,No,Sometimes,CC
